code_edi;tableau_nom;libelle_ligne;label_col1;label_col2;label_col3
154;Table 1;Ecarts de conversion actif (I) Eléments circulants;Valeur 1;Valeur 2;Valeur 3
296;Table 1;TOTAL II (F+G+H+I);Valeur 1;Valeur 2;Valeur 3
297;Table 1;TOTAL II (F+G+H+I);Valeur 1;Valeur 2;Valeur 3
298;Table 1;TOTAL II (F+G+H+I);Valeur 1;Valeur 2;Valeur 3
299;Table 1;TOTAL II (F+G+H+I);Valeur 1;Valeur 2;Valeur 3
532;Table 1;Trésorerie-Actif;Valeur 1;Valeur 2;Valeur 3
533;Table 1;Trésorerie-Actif;Valeur 1;Valeur 2;Valeur 3
534;Table 1;Trésorerie-Actif;Valeur 1;Valeur 2;Valeur 3
535;Table 1;Trésorerie-Actif;Valeur 1;Valeur 2;Valeur 3
303;Table 1;Chèques et valeurs à encaisser;Valeur 1;Valeur 2;Valeur 3
306;Table 1;Chèques et valeurs à encaisser;Valeur 1;Valeur 2;Valeur 3
309;Table 1;Chèques et valeurs à encaisser;Valeur 1;Valeur 2;Valeur 3
312;Table 1;Chèques et valeurs à encaisser;Valeur 1;Valeur 2;Valeur 3
304;Table 1;Banques, T.G et C.C.P;Valeur 1;Valeur 2;Valeur 3
307;Table 1;Banques, T.G et C.C.P;Valeur 1;Valeur 2;Valeur 3
310;Table 1;Banques, T.G et C.C.P;Valeur 1;Valeur 2;Valeur 3
313;Table 1;Banques, T.G et C.C.P;Valeur 1;Valeur 2;Valeur 3
305;Table 1;Caisse, Régie d'avances et accréditifs;Valeur 1;Valeur 2;Valeur 3
308;Table 1;Caisse, Régie d'avances et accréditifs;Valeur 1;Valeur 2;Valeur 3
311;Table 1;Caisse, Régie d'avances et accréditifs;Valeur 1;Valeur 2;Valeur 3
314;Table 1;Caisse, Régie d'avances et accréditifs;Valeur 1;Valeur 2;Valeur 3
316;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
317;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
318;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
319;Table 1;TOTAL III;Valeur 1;Valeur 2;Valeur 3
186;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
187;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
188;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
189;Table 1;TOTAL GENERAL I+II+III;Valeur 1;Valeur 2;Valeur 3
13400;Table 1;Capital social ou personnel (1);Valeur 1;Valeur 2;Valeur 3
13411;Table 1;Capital social ou personnel (1);Valeur 1;Valeur 2;Valeur 3
13401;Table 1;Moins : actionnaires, capital souscrit non appelé;Valeur 1;Valeur 2;Valeur 3
13412;Table 1;Moins : actionnaires, capital souscrit non appelé;Valeur 1;Valeur 2;Valeur 3
13402;Table 1;Moins : Capital appelé;Valeur 1;Valeur 2;Valeur 3
13413;Table 1;Moins : Capital appelé;Valeur 1;Valeur 2;Valeur 3
13403;Table 1;Moins : Dont versé;Valeur 1;Valeur 2;Valeur 3
13414;Table 1;Moins : Dont versé;Valeur 1;Valeur 2;Valeur 3
13404;Table 1;Prime d'émission, de fusion, d'apport;Valeur 1;Valeur 2;Valeur 3
13415;Table 1;Prime d'émission, de fusion, d'apport;Valeur 1;Valeur 2;Valeur 3
13405;Table 1;Ecarts de réévaluation;Valeur 1;Valeur 2;Valeur 3
13416;Table 1;Ecarts de réévaluation;Valeur 1;Valeur 2;Valeur 3
13406;Table 1;Réserve légale;Valeur 1;Valeur 2;Valeur 3
13417;Table 1;Réserve légale;Valeur 1;Valeur 2;Valeur 3
13407;Table 1;Autres réserves;Valeur 1;Valeur 2;Valeur 3
13418;Table 1;Autres réserves;Valeur 1;Valeur 2;Valeur 3
13408;Table 1;Report à nouveau (2);Valeur 1;Valeur 2;Valeur 3
13419;Table 1;Report à nouveau (2);Valeur 1;Valeur 2;Valeur 3
14001;Table 1;Résultats nets en instance d'affectation (2);Valeur 1;Valeur 2;Valeur 3
14002;Table 1;Résultats nets en instance d'affectation (2);Valeur 1;Valeur 2;Valeur 3
13409;Table 1;Résultat net de l'exercice (2);Valeur 1;Valeur 2;Valeur 3
13420;Table 1;Résultat net de l'exercice (2);Valeur 1;Valeur 2;Valeur 3
13410;Table 1;Total des capitaux propres (A);Valeur 1;Valeur 2;Valeur 3
13421;Table 1;Total des capitaux propres (A);Valeur 1;Valeur 2;Valeur 3
13397;Table 1;Capitaux propres assimilés (B);Valeur 1;Valeur 2;Valeur 3
13422;Table 1;Capitaux propres assimilés (B);Valeur 1;Valeur 2;Valeur 3
13398;Table 1;Subvention d'investissement;Valeur 1;Valeur 2;Valeur 3
13423;Table 1;Subvention d'investissement;Valeur 1;Valeur 2;Valeur 3
13399;Table 1;Provisions réglementées;Valeur 1;Valeur 2;Valeur 3
13424;Table 1;Provisions réglementées;Valeur 1;Valeur 2;Valeur 3
13339;Table 1;(code = 13339) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
13396;Table 1;(code = 13339) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
13425;Table 1;(code = 13339) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
13393;Table 1;Dettes de financement (C);Valeur 1;Valeur 2;Valeur 3
13426;Table 1;Dettes de financement (C);Valeur 1;Valeur 2;Valeur 3
13394;Table 1;Emprunts obligataires;Valeur 1;Valeur 2;Valeur 3
13427;Table 1;Emprunts obligataires;Valeur 1;Valeur 2;Valeur 3
13395;Table 1;Autres dettes de financement;Valeur 1;Valeur 2;Valeur 3
13428;Table 1;Autres dettes de financement;Valeur 1;Valeur 2;Valeur 3
13343;Table 1;(code = 13343) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
13392;Table 1;(code = 13343) (Type =Texte);Valeur 1;Valeur 2;Valeur 3
